Date,Ticker,Name,Sector,Industry,Country,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend %,Employees,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20,EPS (ttm),SMA50,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,SMA200,Price,ESG Totalesg,ESG Environmentscore,ESG Socialscore,ESG Governancescore,ESG Highestcontroversy,ESG Percentile
2021.08.01,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,755940000,14300000,1050000000,17.05,2.53,NA,NA,1494,73.98,35.37,NA,0.72,1.23,8.29,9.07,0.8,0.9,1.18,1.06,0.1144,0.28,0.2028,0.006,0.029,0.025,0.939,0.051,0.014,0.9812,21.01,NA,NA,NA,NA,NA,NA
2021.08.01,CELC,Celcuity Inc.,Healthcare,Diagnostics & Research,USA,309490000,-10000000,NA,3.18,NA,NA,NA,30,NA,NA,NA,NA,6.19,NA,NA,30.5,30.5,0,0,-0.1233,-0.96,-0.217,-0.495,-0.524,NA,NA,NA,NA,0.1581,19.7,NA,NA,NA,NA,NA,NA
2021.08.01,CELH,"Celsius Holdings, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,USA,5190000000,8600000,152600000,1.5,0.42,NA,NA,154,596.78,199.51,8.57,33.98,45.75,164.1,NA,1.9,2.9,0,0,0.0107,0.12,0.0104,0.068,0.09,0.076,0.449,0.047,0.056,0.3214,68.63,NA,NA,NA,NA,NA,NA
2021.08.01,CELP,"Cypress Environmental Partners, L.P.",Energy,Oil & Gas Equipment & Services,USA,24800000,-7400000,164500000,1.7,0.41,NA,NA,42,NA,NA,NA,0.15,1.14,4.68,0.93,1.3,1.3,2.03,2.01,-0.1416,-0.61,-0.1655,-0.06,-0.298,0.034,0.143,0,-0.045,-0.2193,1.93,NA,NA,NA,NA,NA,NA
2021.08.01,CEMI,"Chembio Diagnostics, Inc.",Healthcare,Diagnostics & Research,USA,56600000,-25000000,34300000,1.15,0.72,NA,NA,355,NA,NA,NA,1.65,2.47,3.93,NA,1.9,3.4,0.8,0.79,-0.0166,-1.27,-0.0636,-0.37,-0.809,-0.49,0.329,-0.659,-0.729,-0.3741,2.84,NA,NA,NA,NA,NA,NA
2021.08.01,CENT,Central Garden & Pet Company,Consumer Defensive,Packaged Foods,USA,2490000000,161000000,3040000000,21.55,NA,NA,NA,5600,16.39,16.24,2.18,0.82,2.24,NA,13.85,1.4,2.6,0.84,0.84,-0.0423,2.95,-0.0914,0.065,0.147,0.092,0.295,0.082,0.053,0.0018,48.29,NA,NA,NA,NA,NA,NA
2021.08.01,CENTA,Central Garden & Pet Company,Consumer Defensive,Packaged Foods,USA,1830000000,NA,3040000000,19.71,NA,NA,NA,6900,18.19,14.53,3.08,0.6,2.2,NA,NA,NA,NA,NA,NA,-0.0462,2.38,-0.1062,NA,NA,NA,NA,NA,NA,-0.0148,43.31,NA,NA,NA,NA,NA,NA
2021.08.01,CENX,Century Aluminum Company,Basic Materials,Aluminum,USA,1300000000,-260600000.00000003,1630000000,4.53,0.29,NA,NA,2078,NA,9.19,NA,0.8,3.21,49.36,NA,0.4,1.2,0.78,0.6,0.1683,-2.9,0.1487,-0.183,-0.475,-0.091,-0.038,-0.07,-0.16,0.1431,14.56,NA,NA,NA,NA,NA,NA
2021.08.01,CEPU,Central Puerto S.A.,Utilities,Utilities - Regulated Electric,Argentina,380810000,NA,36850000000,637.45,NA,NA,NA,NA,5.88,1.72,0.16,0.01,0,NA,NA,NA,NA,NA,NA,0.0455,0.43,0.0442,NA,NA,NA,NA,NA,NA,0.0701,2.53,NA,NA,NA,NA,NA,NA
2021.08.01,CEQP,Crestwood Equity Partners LP,Energy,Oil & Gas Midstream,USA,1870000000,-145200000,3140000000,8.85,0.25,2.5,0.0859,731,NA,19.72,NA,0.6,3.29,114.78,32.77,0.6,0.8,3.95,3.95,0.0131,-2.11,-0.0215,-0.022,-0.119,0.024,0.218,0.028,-0.037,0.2223,29.12,NA,NA,NA,NA,NA,NA
2021.08.01,CERC,Cerecor Inc.,Healthcare,Biotechnology,USA,256800000,-72800000,4400000,0.37,NA,NA,NA,32,NA,NA,NA,58.36,7.19,NA,NA,NA,1.7,0,0,-0.1161,-0.94,-0.1433,-1.241,-1.99,-2.848,0.93,NA,NA,-0.0812,2.66,NA,NA,NA,NA,NA,NA
2021.08.01,CERE,"Cerevel Therapeutics Holdings, Inc.",Healthcare,Biotechnology,USA,3190000000,-199200000,NA,2.67,2.65,NA,NA,104,NA,NA,NA,NA,9.23,9.3,NA,10.2,10.2,0,0,0.0436,-2.41,0.3602,-0.69,-0.787,NA,NA,NA,NA,0.634,24.64,NA,NA,NA,NA,NA,NA
2021.08.01,CERN,Cerner Corporation,Healthcare,Health Information Services,USA,23660000000,805200000,5480000000,14.15,5.01,0.88,0.0109,26400,30.77,22.07,2.55,4.32,5.68,16.05,NA,2.1,2.1,0.43,0.37,0.0196,2.61,0.0185,NA,NA,0.121,0.834,NA,NA,0.0597,80.39,19.87,0.14,12.89,6.84,2,21.28
2021.08.01,CERS,Cerus Corporation,Healthcare,Biotechnology,USA,862700000,-60800000,119200000,0.55,0.77,NA,NA,270,NA,NA,NA,7.24,9.16,6.55,NA,2.9,3.3,0.7,0.59,-0.0144,-0.36,-0.0815,-0.279,-0.579,-0.386,0.631,-0.498,-0.511,-0.1967,5.04,22.16,3.67,10.45,7.83,NA,NA
2021.08.01,CERT,"Certara, Inc.",Healthcare,Biotechnology,USA,4190000000.0000005,-49400000,252800000,5.62,1.77,NA,NA,846,NA,78.19,NA,16.59,4.84,15.36,104.05,5.5,5.5,0.36,0.36,0.0417,-0.69,0.0277,-0.043,-0.075,-0.021,0.586,-0.106,-0.195,-0.1069,27.21,NA,NA,NA,NA,NA,NA
2021.08.01,CET,Central Securities Corp.,Financial,Asset Management,USA,1100000000,NA,24270000,39.49,NA,0.4,0.0095,NA,14.95,NA,NA,45.41,1.06,NA,NA,NA,NA,NA,NA,0.0013,2.81,0.0041,NA,NA,NA,NA,NA,NA,0.1651,42,21.65,3.05,8.65,7.94,NA,NA
2021.08.01,CETX,"Cemtrex, Inc.",Industrials,Conglomerates,USA,24500000,-7200000,37300000,1.52,0.84,NA,NA,284,NA,NA,NA,0.66,0.84,1.52,NA,1.9,2.4,0.66,0.43,-0.091,-0.58,-0.111,-0.134,-0.272,-0.125,0.445,-0.2,-0.216,-0.1717,1.28,NA,NA,NA,NA,NA,NA
2021.08.01,CEV,Eaton Vance California Municipal Income Trust,Financial,Asset Management,USA,99580000,NA,5690000,14.69,NA,0.57,0.0408,NA,15.32,NA,NA,17.49,0.95,NA,NA,NA,NA,NA,NA,-4e-4,0.91,0.0108,NA,NA,NA,NA,NA,NA,0.0333,13.96,NA,NA,NA,NA,NA,NA
2021.08.01,CEVA,"CEVA, Inc.",Technology,Semiconductors,USA,1030000000,-4800000,102100000,11.61,7,NA,NA,404,NA,55.34,NA,10.14,4.28,7.09,50,4.8,4.8,0,0,0.126,-0.21,0.1162,-0.016,-0.019,-0.022,0.898,-0.004,-0.047,0.0017,49.64,NA,NA,NA,NA,NA,NA
2021.08.01,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,10220000000,400000000,4200000000,14.09,3.72,1.2,0.0254,3000,25.43,14.02,NA,2.43,3.35,12.71,10.8,1.2,1.7,1.23,1.23,-0.0319,1.86,-0.0748,0.033,0.137,0.086,0.217,0.171,0.095,0.074,47.25,32.96,18.62,9.2,5.14,2,68.3
2021.08.01,CFAC,CF Finance Acquisition Corp. III,Financial,Shell Companies,USA,294040000,-2500000,NA,7.47,0,NA,NA,NA,NA,NA,NA,NA,1.35,NA,NA,0.5,0.5,0,0,0.0039,-0.09,0.005,NA,NA,NA,NA,NA,NA,-0.0431,10.07,NA,NA,NA,NA,NA,NA
